iter	Passed	Remaining
409	4668	6718
410	4673	6698
411	4677	6675
412	4688	6663
413	4693	6644
414	4707	6635
415	4714	6617
416	4721	6601
417	4732	6589
418	4743	6577
419	4755	6567
420	4767	6556
421	4779	6545
422	4790	6534
423	4801	6522
424	4813	6512
425	4823	6499
426	4829	6481
427	4837	6465
428	4849	6454
429	4861	6444
430	4873	6433
431	4884	6421
432	4896	6411
433	4907	6399
434	4917	6387
435	4929	6377
436	4934	6357
437	4943	6343
438	4948	6323
439	4958	6311
440	4971	6302
441	4978	6284
442	4988	6272
443	5000	6261
444	5011	6249
445	5022	6238
446	5033	6227
447	5037	6207
448	5047	6194
449	5059	6184
450	5071	6173
451	5076	6154
452	5087	6142
453	5095	6127
454	5107	6118
455	5114	6101
456	5125	6090
457	5138	6081
458	5144	6063
459	5155	6052
460	5169	6043
461	5182	6035
462	5195	6025
463	5207	6016
464	5220	6005
465	5232	5996
466	5244	5985
467	5255	5973
468	5266	5962
469	5278	5952
470	5290	5942
471	5303	5932
472	5315	5922
473	5326	5911
474	5338	5900
475	5350	5889
476	5361	5878
477	5365	5859
478	5376	5848
479	5388	5837
480	5395	5821
481	5405	5809
482	5417	5799
483	5429	5788
484	5442	5778
485	5454	5768
486	5463	5755
487	5476	5745
488	5489	5736
489	5499	5724
490	5511	5713
491	5519	5698
492	5529	5686
493	5541	5676
494	5554	5666
495	5565	5655
496	5577	5644
497	5589	5633
498	5600	5622
499	5611	5611
500	5623	5601
501	5635	5590
502	5641	5573
503	5652	5562
504	5664	5552
505	5676	5542
506	5687	5530
507	5699	5520
508	5707	5505
509	5716	5492
510	5728	5481
511	5739	5470
512	5749	5458
513	5761	5447
514	5768	5432
515	5778	5420
516	5789	5408
517	5800	5397
518	5811	5385
519	5821	5374
520	5832	5362
521	5843	5351
522	5848	5334
523	5853	5317
524	5863	5305
525	5875	5294
526	5887	5283
527	5897	5272
528	5906	5258
529	5908	5239
530	5918	5227
531	5921	5209
532	5931	5197
533	5943	5186
534	5955	5176
535	5966	5164
536	5977	5154
537	5989	5143
538	6000	5131
539	6006	5116
540	6016	5104
541	6028	5094
542	6038	5081
543	6049	5070
544	6059	5058
545	6067	5045
546	6080	5035
547	6085	5019
548	6096	5008
549	6107	4997
550	6116	4984
551	6129	4974
552	6141	4964
553	6154	4954
554	6166	4944
555	6177	4933
556	6189	4922
557	6200	4911
558	6212	4900
559	6223	4890
560	6228	4874
561	6239	4862
562	6250	4851
563	6261	4840
564	6272	4829
565	6282	4817
566	6289	4803
567	6299	4791
568	6312	4781
569	6323	4770
570	6331	4756
571	6344	4747
572	6356	4736
573	6363	4722
574	6375	4712
575	6380	4696
576	6390	4685
577	6402	4674
578	6415	4664
579	6427	4654
580	6439	4644
581	6451	4633
582	6461	4621
583	6472	4610
584	6484	4599
585	6496	4589
586	6508	4579
587	6520	4568
588	6531	4557
589	6542	4546
590	6554	4535
591	6565	4525
592	6571	4510
593	6582	4498
594	6593	4488
595	6605	4477
596	6616	4466
597	6628	4455
598	6636	4442
599	6648	4432
600	6664	4424
601	6676	4414
602	6683	4399
603	6694	4388
604	6697	4372
605	6707	4361
606	6715	4348
607	6726	4337
608	6734	4323
609	6745	4312
610	6757	4302
611	6769	4291
612	6780	4280
613	6792	4270
614	6805	4260
615	6816	4249
616	6827	4238
617	6836	4225
618	6847	4214
619	6859	4204
620	6871	4193
621	6876	4178
622	6887	4167
623	6898	4156
