iter	RMSE
284	24534.5728
285	24534.18405
286	24533.71189
287	24533.36435
288	24533.00347
289	24532.60957
290	24532.22466
291	24531.8738
292	24531.451
293	24531.24841
294	24530.73773
295	24530.33864
296	24530.02285
297	24529.6386
298	24529.34364
299	24529.0281
300	24528.60122
301	24528.30952
302	24528.03172
303	24527.58829
304	24527.2479
305	24526.79957
306	24526.43413
307	24526.00663
308	24525.68822
309	24525.29726
310	24524.98807
311	24524.65176
312	24524.33297
313	24524.0045
314	24523.71904
315	24523.26395
316	24523.01695
317	24522.82858
318	24522.50757
319	24522.19585
320	24521.97399
321	24521.67385
322	24521.56743
323	24521.38632
324	24521.09757
325	24520.76221
326	24520.32971
327	24520.05206
328	24519.75509
329	24519.59268
330	24519.4286
331	24519.09151
332	24518.92821
333	24518.68992
334	24518.32812
335	24518.08615
336	24517.88851
337	24517.60811
338	24517.3874
339	24517.18926
340	24516.85654
341	24516.60277
342	24516.35334
343	24516.13744
344	24516.00663
345	24515.79889
346	24515.49268
347	24515.30322
348	24515.29657
349	24515.28582
350	24515.06408
351	24514.79087
352	24514.48296
353	24514.27736
354	24514.0264
355	24513.70828
356	24513.51437
357	24513.38559
358	24513.26789
359	24513.09636
360	24512.91919
361	24512.78113
362	24512.45382
363	24512.28136
364	24512.09977
365	24511.88112
366	24511.69802
367	24511.50764
368	24511.28207
369	24511.15294
370	24510.93442
371	24510.66452
372	24510.53541
373	24510.41103
374	24510.26617
375	24510.16068
376	24510.06838
377	24509.88522
378	24509.7829
379	24509.66963
380	24509.51812
381	24509.41741
382	24509.16496
383	24509.09957
384	24508.88014
385	24508.71852
386	24508.66066
387	24508.58889
388	24508.42914
389	24508.22664
390	24508.09921
391	24507.93711
392	24507.8356
393	24507.82058
394	24507.62861
395	24507.59054
396	24507.37797
397	24507.10398
398	24506.85659
399	24506.6594
400	24506.56698
401	24506.48144
402	24506.27814
403	24506.08816
404	24505.92703
405	24505.81181
406	24505.64401
407	24505.64389
408	24505.44977
409	24505.23441
410	24505.14214
411	24505.03547
412	24504.84414
413	24504.77426
414	24504.63864
415	24504.60399
416	24504.4547
417	24504.39383
418	24504.26977
419	24504.13503
420	24504.11752
421	24503.96444
422	24503.88549
423	24503.74716
424	24503.68187
425	24503.60748
426	24503.59177
427	24503.51304
428	24503.37293
429	24503.27577
430	24503.14497
431	24503.09802
432	24502.93191
433	24502.8664
434	24502.76409
435	24502.58817
436	24502.52695
437	24502.39708
438	24502.39561
439	24502.32189
440	24502.24622
441	24502.13158
442	24501.9979
443	24501.92792
444	24501.86841
445	24501.8635
446	24501.73764
447	24501.73708
448	24501.60116
449	24501.52614
450	24501.38924
451	24501.31269
452	24501.19363
453	24501.11936
454	24501.05815
455	24501.00332
456	24500.89801
457	24500.78021
458	24500.67626
459	24500.56966
460	24500.4803
461	24500.42637
462	24500.32528
463	24500.27952
464	24500.2699
465	24500.12209
466	24500.05807
467	24499.91569
468	24499.86519
469	24499.76284
470	24499.66137
471	24499.54578
472	24499.47475
473	24499.43598
474	24499.42896
475	24499.31743
476	24499.24597
477	24499.2044
478	24499.07685
479	24499.05699
480	24499.02597
481	24498.89716
482	24498.80659
483	24498.67895
484	24498.5915
485	24498.47323
486	24498.37383
487	24498.32818
488	24498.2305
489	24498.05388
490	24497.90021
491	24497.82805
492	24497.75587
493	24497.7137
494	24497.66958
495	24497.61493
496	24497.51484
497	24497.40717
498	24497.36711
499	24497.3074
500	24497.24479
501	24497.16561
502	24497.12449
503	24497.02956
504	24496.88672
505	24496.88018
506	24496.87008
507	24496.77685
508	24496.72331
509	24496.68961
510	24496.61289
511	24496.55092
512	24496.51146
513	24496.47417
514	24496.42074
515	24496.41691
516	24496.35943
517	24496.3065
518	24496.2114
519	24496.20125
520	24496.15349
521	24496.07241
522	24496.07109
523	24495.99701
524	24495.9095
525	24495.87164
526	24495.82517
527	24495.72302
528	24495.68812
529	24495.68809
530	24495.59106
531	24495.59091
532	24495.51032
533	24495.4442
534	24495.4007
535	24495.33999
536	24495.30576
537	24495.26282
538	24495.16502
539	24495.16357
540	24495.15765
541	24495.12097
542	24495.04419
543	24494.9686
544	24494.93374
545	24494.93296
546	24494.86695
547	24494.86682
548	24494.83432
549	24494.80037
550	24494.73312
551	24494.6568
552	24494.60839
553	24494.51395
554	24494.47574
555	24494.4382
556	24494.39639
557	24494.35997
558	24494.31574
559	24494.23596
560	24494.23556
561	24494.13807
562	24494.10761
563	24494.10206
564	24494.02537
565	24493.98721
566	24493.91768
567	24493.87768
568	24493.8039
569	24493.77131
570	24493.76825
571	24493.73774
572	24493.71334
573	24493.70292
574	24493.62861
575	24493.62837
576	24493.55887
577	24493.47891
578	24493.36106
579	24493.30521
580	24493.24061
581	24493.21411
582	24493.15153
583	24493.14011
584	24493.06916
585	24492.98504
586	24492.92297
587	24492.8389
588	24492.77942
589	24492.75564
590	24492.72838
591	24492.64954
592	24492.64874
593	24492.64011
594	24492.56898
595	24492.56706
596	24492.54083
597	24492.52376
598	24492.51339
599	24492.50914
600	24492.48582
601	24492.46256
602	24492.41893
603	24492.35845
604	24492.3584
605	24492.3109
606	24492.31051
607	24492.28535
608	24492.25989
609	24492.23832
610	24492.20706
611	24492.20547
612	24492.10659
613	24492.08398
614	24492.03631
615	24492.01072
616	24491.98303
617	24491.94594
618	24491.93904
619	24491.9095
620	24491.90774
621	24491.9062
622	24491.81098
623	24491.80943
624	24491.75117
625	24491.73134
626	24491.66158
627	24491.6356
628	24491.59445
629	24491.56
630	24491.52802
631	24491.52771
632	24491.50107
633	24491.50062
634	24491.40871
635	24491.38499
636	24491.381
637	24491.38032
638	24491.33285
639	24491.28747
640	24491.27636
641	24491.26409
642	24491.25231
643	24491.22697
644	24491.20632
645	24491.18723
646	24491.14297
647	24491.1412
648	24491.08193
649	24491.07107
650	24491.02868
651	24490.99885
652	24490.96809
653	24490.96655
654	24490.95895
655	24490.95808
656	24490.93362
657	24490.86957
658	24490.78334
659	24490.74751
660	24490.74307
661	24490.71613
662	24490.69831
663	24490.64892
664	24490.5642
665	24490.55396
666	24490.49912
667	24490.4966
668	24490.46745
669	24490.40626
670	24490.39108
671	24490.38859
672	24490.37697
673	24490.32995
674	24490.30055
675	24490.30041
676	24490.24975
677	24490.21
678	24490.19463
679	24490.1925
680	24490.19239
681	24490.14861
682	24490.12125
683	24490.11767
684	24490.07282
685	24490.07166
686	24490.05384
687	24490.0297
688	24490.02085
689	24489.98691
690	24489.98626
691	24489.96157
692	24489.94511
693	24489.89879
694	24489.8583
695	24489.8575
696	24489.8239
697	24489.82055
698	24489.78337
699	24489.77233
700	24489.74494
701	24489.72244
702	24489.71447
703	24489.70649
704	24489.70479
705	24489.65039
706	24489.63492
707	24489.61393
708	24489.59197
709	24489.51941
710	24489.51849
711	24489.51437
712	24489.51149
713	24489.50847
714	24489.45022
715	24489.44985
716	24489.42884
717	24489.40632
718	24489.39701
719	24489.36683
720	24489.3317
721	24489.33164
722	24489.30443
723	24489.26824
724	24489.23776
725	24489.22404
726	24489.20613
727	24489.16933
728	24489.16891
729	24489.15377
730	24489.1178
731	24489.11549
732	24489.04402
733	24489.01342
734	24488.98231
735	24488.94307
736	24488.94177
737	24488.94076
738	24488.914
739	24488.90832
740	24488.85976
741	24488.83785
742	24488.83707
743	24488.8369
744	24488.77096
745	24488.77047
746	24488.75928
747	24488.75916
748	24488.75854
749	24488.70811
750	24488.68743
751	24488.62729
752	24488.58932
753	24488.57396
754	24488.57383
755	24488.57377
756	24488.55911
757	24488.54073
758	24488.48985
759	24488.47751
760	24488.47609
761	24488.44009
762	24488.43978
763	24488.43973
764	24488.36793
765	24488.36663
766	24488.35692
767	24488.35609
768	24488.35463
769	24488.3376
770	24488.33742
771	24488.32711
772	24488.32528
773	24488.2715
774	24488.22904
775	24488.22888
776	24488.22855
777	24488.19279
778	24488.17152
779	24488.15069
780	24488.11334
781	24488.06703
782	24488.03315
783	24488.0309
784	24488.02485
785	24488.02354
786	24488.01291
787	24487.97449
788	24487.96001
789	24487.95896
790	24487.93507
791	24487.93478
792	24487.93456
793	24487.89517
794	24487.89231
795	24487.89214
796	24487.87169
797	24487.85307
798	24487.82971
799	24487.80568
800	24487.80512
801	24487.80192
802	24487.77858
803	24487.75438
804	24487.73171
805	24487.70495
806	24487.70283
807	24487.70281
808	24487.67812
